Department,Sentiment,Emotions,Summary
Product,positive,"love, comfortable, amazing, dressing up, dressing down",comfortable and versatile skirt with amazing colors.
Product,negative,"disappointment, frustration, hopefulness, determination, satisfaction","dress too big, will exchange for smaller size"
Product,negative,"love, laid back, soft, comfy, substantial, dress up, dress down, shrunk","shirt shrunk after washing, not wearable anymore"
Product,negative,"okay, great, thin, see through, strange","material is extremely thin and see through, not worth paying full price"
Product,negative,"disappointed, like, nice, stretched, try","pants stretched out, disappointed, try exchanging for smaller size."
Product,negative,"disappointment, dissatisfaction",fabric quality is poor
Product,positive,"great, simplistic, casual, dream, nice","great top, simplistic, casual, nice fabric, nice drape"
Product,positive,"flattering, sold, great","flattering cut, great shirts"
Product,positive,"great, comfortable, quality, nice, evening","great dress, comfortable, high quality, versatile for day and evening."
Product,negative,"love, off, gaps, flat, high","design and fabric good, fit issues with bust and waist"
Product,positive,"comfortable, love","soft and light, great with midi skirts and culottes"
Product,positive,"beautiful, flattering, agree, wrinkles, fits","fitted and flowy shirt, beautiful color, wrinkles easily"
Product,positive,"great, flattering, bohemian, silk","great flattering bohemian dress, silk"
Product,positive,"love, winner, flattering, perfect, comfortable","lightweight, comfortable, standout piece for the summer time"
Product,negative,"confused, springy, cute, missed the mark","heavy fabric, not lined, not soft, missed the mark"
Product,positive,"flattering, fitted, room, low cut, picture","wide strap style flattering, fitted tank in cobalt blue color."
Product,negative,"disappointment, frustration, hope, confusion, dissatisfaction","sizing issue, hope smaller size will fit"
Product,positive,"beautiful, soft, perfect, fall, weather","beautiful blend of colors, soft texture, perfect for fall weather"
Product,positive,"beautiful, simple, feminine, tight, busty","beautiful, simple, feminine top, tight in bust, size up"
Product,negative,"disappointed, unimpressed, indifferent, dissatisfied, underwhelmed","shirt lacks shape, fabric is see through, overall unexciting."
Product,positive,"beautiful, wonderful, dramatic, like, annoy, heavy, thick, soft, nicely, complements, simple, stand","beautiful sweater, dramatic sleeves, heavy thick soft yarn, stand"
Product,positive,"stunning, detailed, oversized, bohemian, light, airy, dreamy, beautiful, roomy, long","oversized kimono with stunning embroidery, perfect for shorter gals."
Product,positive,"comfortable, perfect, beautiful","comfortable bra, perfect for lounging, beautiful orange color"
Product,positive,"excited, great, professional, teach",feels professional enough for me to teach
nan,nan,nan,nan
"Marketing, Product",positive,"compliment, sparkle, shine, flattering, tastefully","perfect holiday dress, compliments body shape, sparkles and shines"
Product,negative,"loved, sold out, quality, small","product, run small, sold out in larger size"
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, regret","shrinkage issue, not suitable for tall individuals"
nan,nan,nan,nan
Product,negative,"preference, disappointment, uncertainty, dissatisfaction, indifference","maternity top, black preferred, p2 fit, not for me."
Product,negative,"chance, love, exposed, bummer",material feels flimsy for the price point
Product,positive,"cozy, form fitting, roomy, perfect, thin, drapes well, won't be too warm","cozy sweater dress, roomy fit, thin fabric, drapes well"
Product,positive,"love, expensive, worth it, itchy, sensitive","hand knit sweater, expensive but worth it, itchy for sensitive skin"
Product,positive,"cute, flattering, different, wearable, sheer","cute and flattering design, different and wearable, sheer white option"
Product,negative,"beautiful, complaint, pilling/shedding, hope, fabric looks","sweater pilling/shedding, fabric looks after washing"
nan,nan,nan,nan
Product,negative,"disappointment, frustration, dissatisfaction, regret, annoyance","short sweater, unfitting, returned, not as pictured, disappointment"
Product,positive,"great, flow, spring, color, short waisted, fit wonderfully, long waisted, issue","great flow and spring color, short waisted and fit wonderfully"
Product,positive,"love, amazing, great, active, lifestyle",stretchy leggings for active lifestyle
Product,negative,"loved, frayed, apart, body, wore, fit, seam, flattering, comfortable, durable, typical, denim, knit","fabric not durable, frayed apart, comfortable and flattering"
Product,positive,"great, lightweight, warm, gorgeous, fitted, fullness, length, small, short waisted, dress","great lightweight coat, sizing runs small and short waisted"
Product,negative,"disappointment, frustration, hope, satisfaction, relief","inaccurate fabric content, easy return process"
Product,positive,"satisfied, excited, content, comfortable, happy","soft and comfortable fabric, versatile for casual and work events."
"Marketing, Product",positive,"elegant, comfortable, shy, excited, determined","elegant lace dress, perfect for a sunset dinner in Provence."
Product,positive,"amazing, quality, warm, ok","amazing quality, warm, ok"
Product,positive,"loved, beautiful, snug, cute, tight","beautiful dress, snug fit, order size up"
"Marketing, Product",positive,"surprised, must, gorgeous, stunning, quality","must-have dress for holidays and special occasions, beautifully made."
Product,positive,"love, great, comfortable, compliments, roomy","comfortable dress, received compliments, roomy in the top."
Product,positive,"versatile, cute, perfect, steal","versatile and cute dress, perfect fit, steal at sale price"
"Marketing, Sales",positive,"excitement, satisfaction, contentment, anticipation, happiness","soft tunic, versatile, buying more colors when on sale."
Product,positive,"recommendation, reference, try on, recommend, small","sizing recommendation for larger cup sizes, try on in store."
Product,positive,"flattering, love, adorable, interesting, textured","flattering fit, interesting artsy top, textured fabric"
Product,positive,"love, good, tight, wish","aqua print, japanese, quality good, size up, more colors"
Product,positive,"dreamy, divine, gorgeous, feminine, itchy","dreamy colors, leather trim, feminine look, itchy fabric"
Product,positive,"comfortable, great, like, throw on, go","comfortable, great color & fabric, easy to wear"
Product,positive,"cool, loved, sophisticated, nice, flattering","cool leggings, sophisticated outfit, soft fabric, flattering fit"
Product,negative,"disappointed, unimpressed, hopeful, undecided, indifferent","armholes too big, black pattern not special, swingy feel, consider on sale."
Product,positive,"love, know, wearing, today, down","embroidery is navy blue, size down"
Product,negative,"disappointed, hesitant, curious, hopeful, unsure","thin and light-colored denim, cute shape, butt-flattening effect"
Product,positive,"flattering, good, worn, fits well, curvy figure, wish, more colors, show flaws slightly, stretchy","good design, fits well, wish it came in more colors"
Product,negative,"cute, love, itchy, fan, nice, feminine","cute cardigan, itchy material, wide edges, nice color, feminine"
Product,positive,"soft, warm, gorgeous, beautiful, perfect","soft, warm skirt with beautiful colors, perfect for spring"
Product,negative,"disappointment, frustration, dissatisfaction, regret, annoyance","dress runs large, sleeves are not as pictured, returning"
Product,positive,"loved, purchased","pale green sweater, purchased in another color"
Product,positive,"caution, snug, great, dressed up, dressed down","high quality, caution about tight top, versatile for pregnancy and post-partum."
Product,negative,"mistake, love, help","huge, quality, design, sized down two sizes"
Product,positive,"comfortable, cute, versatile","comfortable and cute, versatile colors"
Product,negative,"disappointment, frustration, hope, dissatisfaction, regret","sizing issue, not like previous purchase, disappointment in fit"
Product,positive,"pretty, tts, long, extra length, light weight, comfortable, love","pretty pajamas, tts, long, light weight, comfortable, love the print"
Product,positive,"loved, great, cant go wrong, purchase","great quality, looks great, cant go wrong with this purchase"
Product,negative,"unflattering, chic, right, short, curvy","high-waisted belts, fit, returning"
Product,positive,"flattering, love, perfect, lovely, wish","navy dress, flattering crisscross, stretchy fabric, perfect fit"
Product,positive,"love, happy","beautiful, comfortable, breathable"
Product,positive,"excited, satisfied, surprised, happy, content","nice pants, great fabric, perfect fit, excited to wear"
Product,positive,"love, feminine, casual",feminine look with casual style
Product,positive,"comfortable, lightweight, soft, stretchy, beautiful","comfortable, lightweight joggers with soft and stretchy fabric"
Product,negative,"interesting, good, easy, fine, dull","fit and design interesting, color scheme dull"
Product,positive,"comfortable, flattering, simplicity, wearable, cute",comfortable and flattering summer top with a cute twist.
Product,positive,"liked, big",dress ran too big
Product,positive,"happy, loose, solves, high-rise, long","waist a bit loose, high-rise, solves with drawstring tie"
Product,positive,"cute, good, rough, scratchy",fabric is a little rough and scratchy
Product,negative,"disappointment, frustration, regret, dissatisfaction, annoyance","size issue, sold out"
Product,positive,"excited, happy, standard, high quality","light blue summer jacket, high quality, standard fit"
Product,negative,"cute, smaller chested","maternity top, suited for someone smaller chested"
Product,positive,"loved, beautiful, can't wait","shorter than pictured, size runs large, beautiful color"
Product,positive,"hopeful, happy, stumped, puzzled, cozy","stretchy, warm, cozy sweater, sheds"
Product,positive,"wonderful, warm, cozy, cute, love","warm and cozy and cute, love them"
Product,positive,"beautiful, spectacular, great, justice, soft","beautiful dress, fitted top, flares bottom, soft denim, sparkly belt"
Product,positive,"happy, soft, perfect, often","super soft, perfect for fall season"
nan,nan,nan,nan
Product,positive,"cute, stretch, throughout the day","cute top, stretches throughout the day"
Product,positive,"pleased, perfect, soft-looking, true, enough","true to size, elasticized waistband, floor-length, as pictured"
Product,negative,"disappointment, frustration, dissatisfaction, resignation, annoyance",tank is nice quality but too short and boxy
Product,negative,"loved, flattering, lost, unfortunately, sold out","green color, flattering cut, petite size sold out"
Product,positive,"like, great, perfect, best","frayed ankle looks great, length is perfect, runs one size small"
Product,positive,"perfect, flattering, well made, lightweight, well thought out",well made lightweight sweater with flattering neckline and ribbing detail
Product,positive,"happy, hopeful","high quality cropped trouser, happy with purchase."
Product,positive,"surprised, happy","thin but works, super cute, happy with purchase"
Product,positive,"unsure, disappointed, hopeful, satisfied, curious","size 8 shirt, sheer and flowy, needs tank or cami underneath."
Product,positive,"liked, prefered, cute, comfy, didn't find","pink color, sequins, comfy, leggings, boots, high heels"
Product,positive,"cute, love, dress up, dress down, waiting","cute shirt for spring, colored striping, dress up or down"
Product,negative,"disappointed, frustrated, dissatisfied, regretful, hopeful","sweater dress not flattering for hourglass figure, quality is good"
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, dissatisfaction",sizing issue in bust and shoulder area
Product,positive,"soft, airy, great, terrible, more","soft and airy dress, great color, arm holes slightly low"
Product,negative,"disappointment, frustration, dissatisfaction, regret, skepticism","fit issues, fabric quality, elasticity, high price"
Product,positive,"good, felt, perfect, happier","navy dress, white crochet sweater, perfect dress for mother of the groom."
Product,positive,"unique, gorgeous, great, ethnic/bohemian beauty, femininity, delicate, well worth it",unique and gorgeous top with ethnic/bohemian beauty and femininity. Delicate but well worth it.
Product,positive,"perfect, flowy, beautiful, gorgeous, compliments","perfect for fall, flowy with beautiful embroidery, received compliments"
Product,negative,"dumpy, slender, pounds, squat, miss","pants make me look dumpy, miss for me"
Product,positive,"stylish, classic, quirky, flattering","stylish blouse with classic and quirky features, flattering fit"
Product,negative,"curious, gorgeous, problem, love, long, larger, loved, wish","too much fabric, long, slim hips, wish it worked"
Product,negative,"nice, soft, high quality, solid, pretty, flattering","dress with too much draping, not flattering for my figure."
Product,positive,"flattering, boxy, perfect, great","jacket is flattering, runs large, fits perfect, looks great"
Product,negative,"love, flattering, disappointing, inaccurate",inaccurate color description
Product,negative,"frustration, disappointment, annoyance, dissatisfaction, regret","shorts with cute pattern and pockets, but too short and small, zipper issues"
Product,negative,"misleading, tight, need, shrinkage, extra","misleading picture, tight arm holes, need smaller size, too much fabric"
"Product, Inventory",positive,"cute, great, many things, out of stock, blue color","cute top, great fit, out of stock in blue color"
Product,positive,"perfection, effortless, cool, vibrant, gorgeous","vibrant colors, true to size, room to layer"
Product,positive,"favorite, well, versatile, soft, well made","good quality, versatile piece, more colors needed"
Product,positive,"dream, appreciate, favorites, cute, easily","large, comfy, sexy swing tee, can be worn with boots and jacket"
Product,positive,"cute, unique, frequent, small","cute top, unique, wear frequently, runs small"
Product,positive,"love, flow","length, flow"
Product,negative,"disappointment, frustration, dissatisfaction, sadness, regret","poor cutting, tent-like shape, sad prisoner in stripes"
Product,positive,"beautiful, flatters, slimming, shocked, well made","well-made dress that flatters and slims, perfect for petite figures."
Product,positive,"unusual, lovely, nice, transitional, worn","thick fabric, unusual details, nice choice for transitional weather"
Product,negative,"funny, adorable, return","cropped top, lining is adorable, considering returning it"
Product,positive,"awesome, worried, pretty, well made, want more","well-made bra, pretty lace, want more colors"
Product,positive,"happy, satisfied, excited, pleased, content","high-quality dress, beautiful colors, perfect fit"
Product,negative,"disappointment, frustration, dissatisfaction, regret, annoyance","jacket size too large, had to return it"
Product,positive,"agree, love, looking forward, nice, neutral","grey color, well into fall/winter"
Product,positive,"loved, pleased, slight issue, better, bright","fabric is sheer, stitching is neon pin"
Product,positive,"love, elegance, stunning, favorites, right person","dress with necklace and cardigan, needs altering, stunning on right person"
Product,positive,"stunning, well made, great, tricky, reference","stunning dress, well made, tricky fit, try in store."
Product,positive,"soft, light, airy, great, cute","soft color, light material, feels great, cute flamingos"
Product,positive,"beautiful, drawn, closer, creamy, delicate",beautiful dress with detailed embroidery and lace trim.
Product,negative,"disappointed, well done","length and hanging issue, disappointed with the product."
Product,positive,"nervous, disappointed, flattering, forgiving, thin, light, airy","thin, light, airy, flattering, forgiving"
"Sales, Product",positive,"beautiful, love, modern, 70's vibe, encouraged","salesperson encouraged me to try beautiful blouse, modern 70's vibe"
Product,positive,"satisfied, happy, relieved, content, grateful","well-fitting shorts, good quality, versatile for different outfits."
Product,negative,"disappointed, unflattering, perfect, gorgeous, great","dress not fitted, print and quality are gorgeous, high neckline unflattering"
Product,positive,"love, beautiful, good, compliment, spring","beautiful dress, true to size, many compliments"
Product,positive,"attention, returned, gorgeous, sorry, worth",style and fabric
Product,positive,"soft, pretty, quality, fit, bother","soft, pretty sleeve detail, quality and fit as expected"
Product,positive,"love, beautiful, flattering, perfect, great","beautiful soft fabric, flattering, perfect length, great with shorts, pants or a long skirt"
Product,negative,"dissatisfaction, frustration, disappointment, annoyance, dissatisfaction","sizing issue, fabric quality, not recommended for curvy, athletic build"
Product,negative,"disappointment, surprise, confusion","dress sequins are dark blue, not silver/gold as expected."
Product,positive,"cute, tried","cute top, daughter tried"
Product,positive,"sexy, small, exchanged, large","suit runs small, exchanged for a large"
Product,positive,"happy, satisfied","nice feminine pattern, thick fabric, great pockets, small fits nicely"
Product,positive,"satisfied, happy, confident, content, excited","true-to-size, comfortable, durable, will buy again"
Product,positive,"loved, amazing, fit, recommend, sad","fabric amazing, fit loved, recommend shirt, sad couldn't"
Product,positive,"lovely, beautiful, perfect, lovely","beautiful material, ruffled hem, perfect fit, lovely blue dress"
Product,negative,"cute, short, high, adorable, comfortable","dress too short and flares dramatically, not like the model."
Product,positive,"excited, happy","colorful top in petite sizes, fits perfectly, happy with this find"
Product,positive,"love, great, beautiful, comfy, warm","great quality sweater dress, beautiful color, comfy and warm."
Product,negative,"uncomfortable, disappointed, wanted to love, need to return","dress design not flattering, need to return"
Product,negative,"smitten, limited, snug","limited in length, snug fit"
Product,positive,"love, amazing, fun, perfect, plenty","stretchy, large size, amazing fit, knee-skimmer, green color, pockets, button fly"
Product,positive,"surprised, satisfied, impressed, content, happy","good quality material, great for leggings or skinny jeans."
Product,negative,"frustration, disappointment","sizing issue, returning"
Product,negative,"ok, so-so, fragile, romantic, contrast","fragile fabric, ok fit, so-so color, romantic ruffle"
Product,positive,"surprise, satisfaction, curiosity, anticipation, trust","dress runs big, size down, great weight for mild winter weather"
Product,positive,"lovely, great, touch large, maybe size down","waistband runs large, size down"
Product,positive,"comfortable, love, classy, casual","stretchy fabric, snaps on waistband, comfortable, classy casual."
Product,positive,"beautiful, excited, can't wait, start wearing","versatile sweater/coat, excited to wear it"
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, dissatisfaction","shirt sizing issue, sleeves too long"
Product,positive,"perfect, light, super soft, great, liked","light lilac tone, fabric is light and super soft"
Product,negative,disappointed,color bleeding issue with the top
Product,positive,"love, elegant, complaint, nice","great length, 3/4 bell sleeves, stitching could be better"
Product,negative,"disappointment, frustration, dissatisfaction, hopefulness, uncertainty","dress not flattering, shapeless, low back, not suitable for curvy figure"
Product,positive,"love, hate","slim pant, love it, fits like a glove, no bagging after wear"
Product,negative,"small, chested, large, cute","sizing issue in the chest, cute design."
Product,positive,"pleased, lovely, good, silky","good fit, lovely print, silky fabric"
Product,negative,"sad, disappointed","thin fabric, shows every lump and bump"
Product,positive,"cute, love, great, fit, short","cute top, runs big, fits well, versatile with different bottoms"
"Marketing, Sales",positive,"pretty, easy, soft, gorgeous, surprised","pretty top, soft material, gorgeous back, great purchase on retailer weekend"
Product,negative,"disappointed, pass",dress design is reminiscent of 90s nightgowns
Product,positive,"love, comfortable, perfect, happy, wish","comfortable and perfect shorts, wish for more color options"
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, confusion","sizing issue with jumpsuit, pants start too high, gathering creates unwanted pooch"
Product,positive,"fun, comfortable, cool, nice",embroidered and beaded detail is quite nice
Product,negative,"worried, lost, stretched out, sagged, giving up","dress quality issue, worried about shape and fit"
Product,negative,"loved, billowy, larger, pregnant","shirt look loved, billowy under chest, larger, pregnant."
Product,positive,"flattering, comfortable, wonderful, fun, favorite","flattering and comfortable dress, perfect for work and fun."
Product,positive,"comfortable, put-together, cute, slimming, like","comfortable and cute top, slimming for large bust."
Product,positive,"love, comfortable, warm, dressy, casual","comfortable, warm, dressy yet casual dress"
Product,positive,"great, comfortable, well made, whimsy","great top for spring and summer, comfortable and well made."
Product,positive,"lovely, cool, gorgeous","lovely dress with cool slits, gorgeous fabric, too long for shorter people"
Product,negative,"complain, mind, thick, well, short","dress is ""bell"" shaped, fabric doesn't lay well, shorter than expected, good quality"
product,positive,"love, nice, great, snug, stretched","leggings fit well, love the print and bought more."
Product,positive,"lovely, fun, beautiful, issue, tad","lovely jacket, fun take on blazer, beautiful ruffle pocket-detail"
Product,negative,"disappointed, frustrated, regretful, dissatisfied, sad","sizing issue, unflattering fit, returned"
Product,positive,"flattering, fun, comfortable, vibrant, light","flattering, fun, vibrant colors, comfortable fabric, runs large"
Product,positive,"cute, interesting, comfortable, flowy","cute design, interesting back feature, comfortable and flowy."
Product,negative,"unsure, disappointed, frustrated, dissatisfied, concerned","sizing issue, uncomfortable fit, camel toe problem"
Product,negative,"frustration, confusion, disappointment, dissatisfaction, surprise","dress sizing issue, not suitable for average body shape"
Product,negative,"disappointed, like, overpriced","overpriced, disappointed, quality not great, color is good"
Product,negative,"disappointment, frustration, discomfort","itchy, uncomfortable, puffy sleeves, metallic thread, lace"
Product,negative,"big, cute, maternity","shirt is big, could be cute as maternity shirt"
Product,negative,"disappointing, highest hopes, beautifully designed, comfortably, crisp","sheer shirt, disappointing, highest hopes for crisp white shirt"
Product,positive,"loved, looking for, concern, recommend, compliments","lightweight jacket, soft and versatile, received compliments"
Product,positive,"surprised, beautiful, comfortable, flattering, compliments","beautiful dress, comfortable and flattering, received many compliments"
Product,positive,"beautiful, soft, lovely, easy, fits","beautiful sweater, soft, lovely color, easy to wear, fits"
Product,positive,"cute, flattering","cute and flattering raspberry clothing, paired with dark gray tank"
Product,positive,"perfect, cute, different","flowier top for layering, cute peplum detail."
Product,positive,"concerned, beautiful, rich, ordinary, lined","beautiful blue velvet dress, lined, rich-looking material"
Product,positive,"amazing, great, cute, well-made, perfect","well-made pants with a gorgeous pattern, perfect sizing"
Product,positive,"flattering, comfortable, perfect, spring, dressed up, dressed down","flattering and comfortable dress for spring, versatile for different occasions."
Product,negative,"disappointed, frustrated, indifferent, satisfied, unsure","pilcro made tighter waist due to complaints, fit and quality are good"
Product,positive,"happy, well made, light, comfortable, tastefully done, great, rare finds, dressed up, dressed down, across seasons, spring, shrinking","well made dress, versatile for different seasons, may shrink when washed"
Product,positive,"amazing, great, quality, fits, wonderfully","great quality dress, fits wonderfully, transition between seasons"
Product,negative,"love, happy, significant, older, worn","significant pilling, older, worn"
Product,positive,"pleased, nervous, great, warm, pretty","good fit, warm lining, pretty crowns on birds."
Product,negative,"loved, issue, tight, curvy, problem, ripped, hassle","dress fit perfectly, but difficult to take off, ripped the back"
Product,positive,"cute, flattering, loosen up, quality","cute and flattering, order one size down, good quality."
Product,negative,"strange, cute, small, return, large","suit design issue, small fit, had to return"
Product,negative,"loved, flattering, soft, bummed, holes","holes appeared after washing, fabric quality issue"
Product,positive,"forewarned, lightweight, perfect, gorgeous, wish","lightweight fabric, perfect for summer, gorgeous boho design"
Product,positive,"favorite, flattering, wonderful, skin","favorite romper, flattering, material feels wonderful against skin"
Product,positive,"great, tight, ordinary, love, flattering","neckline needs improvement, overall flattering fit"
Product,positive,"happy, comfortable, versatile, tremendous, win","comfortable, versatile romper, tremendously happy"
Product,positive,"satisfied, impressed, happy, content, pleased","true to size, good quality, versatile for all seasons"
Product,positive,"lucky, torn, layer, rich","moss color is richer, size options available"
Product,positive,"pretty, flowy, love, debating, great","pretty and flowy top, debating on keeping it, great for summer"
Product,positive,"great, perfect, hard, nice, thick","leggings, cold weather, large calves, thick and warm"
Product,negative,"love, favorite, down side, excuse, look","tee shirt with higher neckline and subtle ruffle, developed holes quickly"
Product,positive,"soft, cozy, love","soft and cozy jeans, love them"
Product,positive,"adorable, flattering, correct, perfect","adorable top, flattering style, correct size, perfect fit"
Product,positive,"pleasantly surprised, highly recommend, out there","super soft, high quality, perfect fit for petites"
Product,positive,"cute, great, love","cute, great colors and fit"
Product,negative,"disappointed, dissatisfied, frustrated, regretful, annoyed","beaded shirt, quality seems good, shoulders pleated and puffy, collar floppy"
Product,positive,"beautiful, flattering","dress navy and neutral stripes, fits true to size, knot at hip beautiful and flattering"
nan,nan,nan,nan
Product,positive,"love, okay, flattering, reference, ordered","flattering dress, heavier fabric, good for hourglass figure"
Product,positive,"comfortable, long, expected, everyday, formal","comfortable dress, full skirt, everyday wear"
Product,positive,"love, nervous, hopeful",more tops like this in the fall line
Product,positive,"different, cute, love, beautiful, substantial","cute coral color lining, beautiful drape, soft fabric"
Product,negative,"fence, slinky, loose, large, a-line, over sized, body, intricately, movement, tug, extended","fabric is slinky and loose, sleeves are attached intricately, movement causes tugging"
Product,positive,"anticipation, excitement, satisfaction, happiness, hesitation","flattering and comfy pants, worth the price"
Product,positive,"favorable, liked, lovely, chic","good quality, stays off shoulders, size down, dark navy looks chic"
Product,positive,"quality, design, busty",designers need to consider busty women in their clothing line.
Product,positive,"comfortable, good, heavier, fun, perfect","comfortable and versatile linen pants, reminiscent of old hippie days."
nan,nan,nan,nan
Product,negative,"disappointed, surprised, frustrated, dissatisfied, curious","dress not as expected, fabric is stiff"
Product,positive,"comfortable, nice, snugly, nicer, left behind","pattern on regular fabric, nice colors, comfortable fit, petite length below knee"
Product,positive,"love, lightweight, comfortable, versatile, fun","lightweight, comfortable, versatile sweater, fun piece to wear"
Product,positive,"great, largish, curvier, fitted, long arms, great wrists, sturdy, cheap looking, hand-wash, long time, certain days, more colors, thanks","design, long arms, not cheap looking, hand-wash, more colors"
Product,positive,"happy, cute, great, happy, nice","nice top, dressy and cute, very happy with this purchase"
Product,negative,"disappointed, loved, awkward, alright, cozy","fit and styling disappointed, cozy material for fall season"
Product,positive,"pretty, compliments, comfortable, reccomend","pretty dress, comfortable, highly reccomend"
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, anger",pilcro ankle stet jeans are not as good as they used to be.
Product,negative,"comfortable, liked, issue, flares out oddly, short, opinion, sturdy, long sleeves, proportional, skirt length, horizontal stripes, did not work, regrettably, sent it back","dress flares out oddly and is quite short, skirt length and horizontal stripes did not work"
Product,positive,"love, pretty","pretty details, true to size fit"
Product,negative,"disappointed, sad, weird, sparkly, scratchy","sparkly and scratchy dress, weird slit height, might purchase on sale."
Product,positive,"happy, satisfied, grateful, pleased, content","soft and cuddly robe, petite sizes available, pretty teal color"
Product,negative,"disappointed, cheap","fabric quality is cheap, color is not as expected"
Product,positive,"pretty, gorgeous, comfortable, wish, large chest","pretty sweater, gorgeous detail, comfortable, wish for longer length"
Product,negative,"disappointment, frustration, dissatisfaction, surprise, regret","dress color and length issues, not worth the price tag."
Product,positive,"comfortable, dressy",comfortable and dressy dress
Product,positive,"love, compliments, accommodate, girls","sized up for a better fit, received compliments"
Product,positive,"lovely, comfortable, great, beautiful, figure flattering","comfortable fabric, great cut, figure flattering"
