Department,Sentiment,Emotions,Summary
Product,positive,"charming, lovely, great, fabulous, tighter","charming sweatshirt with art nouveau embroidery, great colors for ""spring"" coloring."
Product,negative,disappointed,"dress not slim fit, disappointed with the purchase"
Product,positive,"surprise, glad, rich, fantastic, perfect","substantial jacket with faux suede feel, lush lining, perfect fit."
Product,positive,"love, compliment, well-made, style, layered","well-made, stylish product with a layered look"
Product,positive,"cute, feminine, delicate, careful","cute, feminine sweater, delicate material, be careful."
Product,positive,"cute, compliments, good, stretch, odd, charm, noticeable, comfortable, representative","cute dress, true to size, comfortable, representative pictures"
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, regret","soft jean, good fit, but didn't last"
Product,positive,"love, favorite, soft, great, thinking","soft dress, favorite brand, great for spring and summer."
Product,positive,"love, flattering, adorable, small, match","first high-rise bottoms, flattering fit, adorable print, solid colored top."
Product,positive,"nice, lightweight, pizazz, nicely made, go to","lightweight dress with lace up front, perfect for summer."
Product,positive,"pretty, love, special, true, intentional","lace details, embroidery, shorter side, fit perfectly"
Product,positive,"happy, satisfied, excited, content, pleased","light colored flowy cardigan, soft material, ruffled edges, tie front, bunching around sleeves"
Product,negative,"glad, waste, missed, great, dol","product missed the mark, dol"
Product,negative,"happy, disappointed, regretful, hopeful, determined","romper too big, need to get it tailored"
Product,positive,"love, like, cool, amazing, invisible","love top, open back, cool, amazing fit, invisible baby belly"
Product,positive,"cute, like, difficult, love, ordered","cute top, sizing difficulty, overall love"
Product,positive,"like, cute, comfortable, good","cute and comfortable shirt, not see through, good to go"
Product,negative,"disappointment, confusion, frustration, dissatisfaction, concern","thin material, backless dress, not suitable for wearing outside"
"Inventory, Product",positive,"satisfied, hopeful, disappointed, impressed, curious","petite dress in stock, beautiful quality, order regular size"
Product,positive,"great, warm, nice, fits, hangs","great sweater, long, warm, fits and hangs nicely"
Product,negative,"frustration, disappointment","bells out too much, had to send it back"
Product,negative,"disappointed, warm, okay, bad, high expectations","sweater without closure, disappointed with no closure"
Product,positive,"happy, thrilled","perfect fit, gorgeous dress, stretch, not too long"
Product,positive,"love, great, fabulous, casual, impending","great t-shirt for summer, looks fabulous for casual occasions."
Product,negative,"potential, favorable, great, off, thick, extra, weight, front, not flattering, shame, great, flowy, low","potential dress, unfavorable reviews, off design, not flattering for majority"
Product,positive,"love, cozy, flattering, vibrant, flowy","flattering dress with vibrant pattern, perfect length, and flowy silhouette."
Product,positive,"worried, ok, little, better, classic","airy and light material, worried about wrinkling"
Product,negative,"doubt, expensive, gorgeous, quality, texture",dress design and fabric quality did not meet expectations
Product,positive,"cute, good quality, not too thick, tts","cute colors, good quality fabric, tts fit"
Product,positive,"great, strategically placed, hide, surprised, well placed, worried","great shirt, strategically placed ruffles, hides stomach flaws, work appropriate, worried about arm waggle"
"Marketing, Product",positive,"satisfied, happy, excited, pleased, content","30% off summer tag sale, feminine and boho style"
Product,positive,"love, fun, soft, comfortable, lovely","soft, comfortable, lovely pink color"
Product,positive,"sunny, love, flattering, relaxed, casual","sunny yellow tee, flattering fit, linen material"
"Marketing, Sales",positive,"preference, love, excitement, satisfaction, gratitude","non-maternity shirt loved by receptionist, can be worn post pregnancy"
Product,positive,"cute, love, glad, try","slimming, cute, perfect length, glad I tried it"
Product,positive,"love, feminine, sexy, worried, delicate, fragile, durable, issue, awkward, odd, recommend, sweet","feminine and sexy bra, durable material, slight fit issue"
