Department,Sentiment,Emotions,Summary
"Marketing, Product and Quality Assurance",positive,"opinion, quality, uniqueness, adorable, comfortable, cute, perfect, love","quality, uniqueness, adorable, comfortable, cute, perfect, love"
Product and Quality Assurance,negative,"frustration, disappointment, annoyance, dissatisfaction, discomfort","tight arm holes, uncomfortable fit"
Product and Quality Assurance,negative,"regret, bummer, perfect, tight","jacket lacks snaps to hold collar down, sleek fit"
Product and Quality Assurance,negative,"loved, sadly, large, ok, return","vest runs large, color different, had to return"
Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, self-consciousness, resignation","bulky sweater, accentuated width, not suitable for shorter individuals."
Product and Quality Assurance,positive,"pretty, correct fit, important, big, large","correct fit is important, arms are a little big."
"Product and Quality Assurance, Inventory Management",positive,"satisfied, confident, pleased, happy, grateful","slimming design, thick fabric, compliments received, inner liner"
"Marketing, Inventory Management",positive,"love, thinking, perfect, little, big","perfect for casual fridays and weekends, love this skirt"
"Sales, Product and Quality Assurance",positive,"like, fine, hot, lightweight, soft","lightweight, soft cotton outfit for hot summer days"
Product and Quality Assurance,negative,"terrible, not lay right, not tight enough, flowy, no shape","top does not lay right, not tight enough, no shape"
Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, surprise, annoyance","blouse different from photo, dark colors, large fit, wide neck, cute peplum ruffle"
Product and Quality Assurance,positive,"satisfied, happy, content, pleased, impressed","nice fabric, versatile, good length, sizing is consistent"
"Marketing, Product and Quality Assurance",positive,"love, want, steal","soft material, daughters want to steal it"
"Marketing, Product and Quality Assurance",positive,"love, great","versatile skirt, multiple ways to wear, good quality"
Product and Quality Assurance,positive,"like, love, happy, hope, not happy","draping fabric, open underarm area, wear with cardi or bandeau"
Product and Quality Assurance,positive,"worth, versatile, beautiful, classic, elegant","cream/blue gray skirt, versatile, classic design, perfect fit"
"Sales, Product and Quality Assurance",positive,"surprised, happy, excited, cautious, satisfied","blouse on sale, fits well, compliments, lace delicate"
Product and Quality Assurance,positive,"complimented, pretty, great, spring/summer","floral patterned version, true to size, great top for spring/summer"
Product and Quality Assurance,negative,"miffed, like, disappointed, surprised, relieved","color not as expected, online return"
Product and Quality Assurance,negative,"unattractive, better fit, perfect, taller frames","size up for better fit, perfect for taller frames"
Product and Quality Assurance,negative,"comfortable, pictured, tts, normal body, easter egg",skirt looks like wearing an easter egg on a normal body
"Marketing, Product and Quality Assurance",positive,"love, soft, feminine, better, decorated","navy blue embroidery, soft and feminine, love it"
"Marketing, Product and Quality Assurance",positive,"love, struck, planning, stitched, unlikely","love the model's pairing, planning to wear with corduroy skirt"
Product and Quality Assurance,positive,"surprised, excited, concerned, relieved, satisfied","dress fits well, sizes are accurate, xl could fit 16-20"
Product and Quality Assurance,positive,"fun, comfort, charm, excitement, satisfaction",fun and comfortable clothing that doesn't shrink or need ironing.
Sales,positive,"comfortable, flattering, nice shape, not slinky","comfortable and flattering dress, nice shape, not slinky."
"Marketing, Product and Quality Assurance",positive,"hesitant, must have, right amount, fits perfectly, highly recommend","lace and detail, size up will be too ""blousy"""
Product and Quality Assurance,positive,"comfortable, flattering, great, spillage, wrong size","comfortable and flattering material, great fit, watch out for spillage"
Product and Quality Assurance,positive,"excellent, favorite, comfortable, substantial, super",comfortable jeans with excellent quality and design
"Marketing, Product and Quality Assurance",positive,"love, thrilled, pretty, keeping","beautiful color and pattern, strangers complimented, keeping"
Product and Quality Assurance,negative,"unique emotions - disappointment, surprise, curiosity, dissatisfaction, confusion","pants not suitable for my body type, material not as expected."
"Product and Quality Assurance, Inventory Management",negative,"comfortable, disappointed, great, snug, saggy",shorts are comfortable but loosen up and develop a saggy look
,,,
Inventory Management,negative,"frustration, uncertainty, disappointment, confusion, dissatisfaction","size issues mentioned in reviews, tenting at the bottom, may have been fine with size 6"
Product and Quality Assurance,positive,"well-constructed, medium weight, beautiful","well-constructed, medium weight, beautiful leggings"
Inventory Management,positive,"cute, love","jumpsuit is cute, need petite size, will have it taken in"
Product and Quality Assurance,negative,"love, big, drowning, quality, size down","shirt too big, love quality, size down"
"Marketing, Sales",positive,"loved, soft, unbelievably, hug, decen","dress is soft, received compliments, material is thick"
"Marketing, Product and Quality Assurance",positive,"gorgeous, soft, luxurious, love, unbelievably","soft and luxurious sweater, love the pink/purple color."
"Marketing, Product and Quality Assurance",positive,"flattering, pretty, nice, requires, work","flattering, pretty, nice, requires, work"
Marketing,positive,"great, versatile, flattering","great versatile skirt, very flattering"
Product and Quality Assurance,positive,"love, artistic, gorgeous, unique, beauty","artistic interpretation, unique style, gorgeous blue, perfect fit"
Product and Quality Assurance,positive,"great, love, bold, lively, strange","great summer top addition, floral print, size fitting issue"
Product and Quality Assurance,positive,"gorgeous, beautifully constructed, cute details, flows well, easy to dress up or down","beautifully constructed jumpsuit, easy to dress up or down."
"Marketing, Product and Quality Assurance",positive,"glad, beautiful, great, gorgeous, nicely","beautiful colors and pattern, lace detail is gorgeous, pairs nicely with dark skinny jeans."
"Marketing, Product and Quality Assurance",positive,"beautiful, loved, intricate, detailed, popped","beautiful embroidery, intricate and detailed, great shirt for spring/summer/fall"
Product and Quality Assurance,negative,"frustration, disappointment, confusion, dissatisfaction, resignation","pilcro stet jeans in white have changed cut, curvier fit, waist doesn't work."
Product and Quality Assurance,positive,"favorite, lightweight, drapey, flattering, dressy, casual","new favorite sweater, lightweight, drapey, flattering, dressy or casual."
"Marketing, Product and Quality Assurance",positive,"love, considering, comfortable, soft, wish","stretchy, comfortable, soft tee in blue/teal color."
Product and Quality Assurance,positive,"love, well made, beautiful, nice, pretty",well-made sleepwear with beautiful designs and nice embroidery
,,,
Product and Quality Assurance,negative,"disappointed, flattering, worth, wowed","dress not flattering, not worth the price"
Product and Quality Assurance,negative,"obsessed, happy, cute, stretchy, comfortable",stretchy jeans sag after a few hours
Marketing,positive,"love, casual, wish, purchased","versatile shirt, love it, should have bought all colors"
Product and Quality Assurance,negative,"flattering, useful, downside, beautiful, benefit","dress does not come with pictured ribbon, needs cinched waist."
Inventory Management,negative,"disappointment, frustration","shirt runs large, returning for smaller size"
Product and Quality Assurance,positive,"flattering, comfortable, versatile, love, flows",comfortable and versatile piece with flattering design and flowy fabric.
Product and Quality Assurance,negative,"loved, good, disappointing","t-shirt shrunk after washing, disappointing quality"
Product and Quality Assurance,positive,"love, great","pants fit perfectly, great for casual days at work"
"Marketing, Product and Quality Assurance",positive,"love, adore","relaxed fit dress, great for casual wear with tall boots."
,,,
"Marketing, Product and Quality Assurance",positive,"great, adorable, versatile, excited, soft","great skirt, versatile piece, soft as butter, received compliments"
Product and Quality Assurance,positive,"fun, playful, shimmering, big plus, perfectly","fun and playful pantie with shimmering lace details, untieable ribbons, perfect fit."
Product,negative,"tight, preferred, worked, gorgeous, weird, dry, rough, longer, tapered, absolute, sad, pretty","tight chest, lining, cami, color, pattern, fabric, length, tapered, pregnant top, sad"
Product,positive,"love, cute, attractive, uniqueness, love","skort with metallic sparkly fiber, casual or dressy, love"
,,,
Product,positive,"well-made, well-designed, great, amazed, tacky","well-made and well-designed tunic top, great over pants"
Product,negative,"disappointment, frustration, hope, dissatisfaction, regret","jeans smell like moth balls after washing, wasted $100"
Product,positive,"surprised, like, unique, stylish, soft","fits well, unique pattern, stylish for spring/summer"
Product,positive,"love, hesitate","ruching hoodie, tight waist, brown gray color"
Product,positive,"love, beauty, contrasting, embroidery, busty","love colors, pleats, contrasting embroidery, busty"
Product,positive,"cute, love, worry, polished, go-to","slim cut, polished, everyday comfort"
Product,positive,"love, comfortable, great, soft, southwest","sweater fits well, great for layering, southwest blanket look"
Product,positive,"concern, beautiful, high quality, appropriate, short, little-girl's dress, beautiful","beautiful dress, concern about short length, may exchange for regular size."
Product,positive,"like, cute, love","cute top, perfect for football game or casual event"
Product,negative,"disappointment, frustration, amusement, admiration, envy","dress too short, better for shorter or younger people."
Product,positive,"beautiful, casual, soft, works well, beach, dinner","modern geometric design, colors as shown, versatile and easy to clean."
Product,positive,"beautiful, vibrant, nice, weight, drape, swing","multi-season dress fits beautifully, vibrant colors, nice weight, drape and swing"
Product,positive,"adorable, love, cute, big, returning","cute top, retro colors, too big, returning"
Product,negative,"disappointment, frustration, dissatisfaction, suggestion, approval","thin fabric, see through back, not suitable for all body types"
Product,positive,"love, soooo, wait, soft","cardigan runs slightly large, color is exactly as pictured, soooo soft"
Product,positive,"glad, beautiful, vivid",colors are more vivid and beautiful in person
Product,positive,"stunning, fun, flory, airy","dress design, colors, fun and airy."
Product,positive,"love, perfect, tight, inappropriate, momma's, wash, stretches, belt, size down, tight","perfect fit, waist stretches, need to wear a belt"
Product,negative,"pretty, youthful, gigantic, wide, long, ridiculous, petite, below my knees",dress is pretty but too big and long for petite sizes.
Product,positive,"satisfied, hopeful, comfortable, happy, content","nice and thick white jeans, soft and comfy"
Product,positive,"love, happy","cute in store, true to size, versatile for cocktail party or casual wear"
,,,
Product,negative,"cute, see through, returned, pink","white shirt see through, returned for cute pink."
Product,positive,"beautiful, classic, structured, right, occasion","classic and beautiful style, structured material, versatile for any occasion."
Product,negative,"excited, disappointed, recommend","cheap fabric, not flowy, not recommended"
Product,positive,"excited, accommodating, flattering",flattering style for various heights and figures
Product,positive,"love, smaller","tee with drapery cut, runs smaller"
Product,negative,"disappointment, frustration, dissatisfaction, confusion, regret","top runs large, too much fabric, not suitable for shorter individuals"
,,,
Product,positive,"wanted, soft, warm, classic, expect, polished","soft, warm and classic jacket, perfect for outdoor wear."
Product,positive,"satisfied, confident, comfortable, happy, appreciated","well-fitting dress, comfortable and flattering, received many compliments"
Product,negative,"compliments, beautiful, flattering, unfortunately, thin","unflattering shape, long length, not suitable for larger chest"
Product,positive,"eager, relaxed, cozy, sweet, flattering","well-executed chunky knit trapeze sweater, sweet and flattering color"
Product,positive,"tight, nice, snug, nice, especially","snug fit, nice fabric, no need for bra"
Product,positive,"nice, like, perfect, small","nice cords, style, high waist, cropped flare, run small"
Product,positive,"adore, pretty, small, perfect, beautiful","rust color top, minor opening, fits nicely, beautiful"
Product,positive,"adorable, liked, extremely, slim, work","looser fit, slim arms, adorable top"
Product,positive,"liked, great, cute, cozy, feminine","soft fabric, cozy winter top"
Product,negative,"disappointed, dull, thin, large","red color not as shown, thin and runs large"
Product,positive,"favorite, swing, shape, easily paired, buy","favorite top, swing look, easily paired, buy on sale"
Product,positive,"love, soft, comfortable, great, favorite","soft, comfortable jeans, new favorite brand"
Product,positive,"nicely made, beautifully, flattering, perfect, nice","nicely made dress, flattering, perfect for summer"
,,,
Product,positive,"love, nice, cute, perfect, beyond","fabric and lace detail, runs big, order down"
Product,positive,"pretty, unusual, gorgeous, good, bad","unusual and gorgeous blouse, ivory color is almost white."
Product,negative,"snug, returned","snug fit, returned"
Product,positive,"obsessed, love, good, together","shape, love, good together"
Product,positive,"perfect, recommend, long, larger, nicely","slouchy leggings, perfect with chunky sweater, larger size, long length"
Product,positive,"happy, beautiful, forgiving, happy, problem","sweet dress, perfect for fall and spring, versatile colors, forgiving, happy"
Product,positive,"beautiful, flattering, delicate, different, stunner","beautiful, flattering, feminine fit, floral pattern, layers, stunner"
Product,negative,"disappointment, satisfaction, annoyance, excitement, contentment","shirt runs large, cute style, pills"
Product,positive,"love, looking forward","vibrant colors, practical pockets, looking forward to wearing"
Product,positive,"favorite, form fitted, perfect, realized, never purchased","favorite dress, runs large, size down, form fitted, perfect length"
Product,positive,"flattering, interesting, great, love","interesting, flattering shirt, great for pairing with torn up skinny jeans"
Product,positive,"like, love, dressy, fits right, fabric","color, embroidery, fits well, bit too much fabric"
Product,negative,"disappointment, frustration, love, unflattering, cute","romper design needs improvement, print and material are good."
Product,negative,"liked, swimming, heavy, returned","fabric and look liked, but top felt heavy, returned"
Product,positive,"fab, great, flattering, fit, pockets","great length, great pattern, flattering fit, even pockets"
Product,positive,"perfect, nicely, great, better, like","nicely fitted wide legs, great weight fabric, better than similar pants."
Product,positive,"urged, nice, pretty, love, flattering","stylish tank with embroidered cut outs, flattering fit"
Product,positive,"cute, comfortable, big, wearable","cute top, comfortable, runs big, wearable"
Product,positive,"great, comfortable, disappointed, super, wish","comfortable pants, disappointed with limited color options"
Sales,positive,"glad, adorable, extra savings",got it on sale with extra savings
Product,negative,"disappointment, frustration, dissatisfaction, annoyance, dissatisfaction",medium size is too balloony at the bottom
Product,positive,"pleased, great, soft, amazing, thin","color and fabric are great for layering, very soft."
Product,positive,"scared, perfect, flattering",flattering romper for tall individuals
Product,positive,"loved, liked, returned","color, fabric, wide at bottom, returned"
Product,positive,"love, nice, interest, complimentary, favorite","favorite item, nice interest, complimentary to skin tone"
Product,positive,"excited, great, warm, wear, quality",great quality dress for warmer weather
Product,positive,"beautifully made, incredible, gorgeous, perfect, strange",blouse is gorgeous and perfect for autumn
,,,
Product,positive,"satisfied, happy, impressed, content, pleased","fantastic quality tee with nubbed appearance, hides baby belly."
Product,positive,"adorable, soft, high quality, thick, sweater","soft and high quality faux fur jacket, perfect for winter."
Product,negative,"on the fence, not fitted, flattering, fine, true to size","not fitted at the waist, flattering v-neck and flared skirt"
Product,positive,"amazing, short","color and fit amazing, length not too short"
Product,negative,"disappointment, frustration, caution, uncertainty, dissatisfaction","weird fit, muted colors, try on in store"
Product,positive,"perfect, lightweight, easily worn, great","lightweight jacket, perfect for fall, looks great with jeans"
Product,positive,"beautiful, significant, flimsy, heavy, gorgeous, subtle, nice, perfect","dress fits beautifully, fabric is thick, detail is gorgeous"
Product,positive,"love, soft, flattering, comfortable, great","soft, flattering shirt with great fabric, perfect for layering."
Product,positive,"cute, love, perfect, great","cute joggers, perfect fit, love them"
Product,positive,"happy, pretty, feminine, great, happy","pretty and feminine top, looks great with jeans, happy with purchase"
Product,positive,"love, great, wish, sucker, keeping","cute basic white shirt with nice detail, great for work or play."
Product,negative,"odd, inappropriately, def., strange, not sure",snaps at the ankle are cute but bad in execution
Product,positive,"warm, soft, comfortable, versatile, cute","warm, soft, comfortable dress, versatile for work or casual evening date."
Product,positive,"comfortable, dressy, recommend, lovely, well-made","quality fabric, comfortable yet dressy blouse"
Product,positive,"great, flattering, thick, hides","pants are great, flattering, thick material, hides underwear lines"
Product,negative,unflattering,dress with unflattering built-in extra material at lower abdomen.
Product,negative,"disappointment, frustration, dissatisfaction, surprise, regret","wide and short size, soft material, returning"
Product,negative,"comfortable, soft, flattering, special, pass","vest is nice enough, comfortable, soft, flattering, but not special"
Product,positive,"love, classic, classy, fun, cute","classic and classy top, cute gingham, soft and thick fabric"
Product,negative,"odd, liked, going back","odd fit, soft material, going back"
Product,positive,"cute, regret, flattering, gorgeous, sheer","cute and flattering top, needs a cami, no options available"
Product,positive,"comfortable, flattering, beautiful, love, hope","comfortable and flattering pants with beautiful embroidery, hoping for color and fit to stay"
Product,positive,"satisfied, happy, content, pleased, indifferent","good quality dress, recommend smaller size, minor alteration needed."
Product,positive,"pretty, romantic","pretty, romantic"
Product,positive,"form fitted, flattering",form fitted and flattering
Product,positive,"yummy, soft, gorgeous, great, fabulous","fabric is yummy and soft, eyelet detail gorgeous, colors are great"
Product,positive,"great, larger, billows, expected, great","basic tee, navy, fits larger, great for summer, looks great with skinny jeans"
Product,positive,"beautiful, good, dress up, special occasion","beautiful embroidery, good quality jeans, dress up for special occasion"
Product,positive,"flattering, perfect, great, deep","flattering cut for hourglass ladies, great for fall"
,,,
"Marketing, Product",positive,"love, happy, polished, casual, compliments","versatile top, pairs well with different outfits, receives compliments"
Product,positive,"love, like","thin dress, medium size, need slip"
Product,positive,"great, nice, appropriate, surprised, great","great skirt, fits well, higher slit, looks great with blouse and cardigan"
Product,positive,"disagree, high quality, liked, swingy, tight","high quality fabric, liked pattern and shape, tight fit"
Product,positive,"satisfied, happy, content, relieved, indifferent","good quality fabric, high waist, perfect fit for midsection"
,,,
Product,negative,"dissatisfaction, desire, love","top runs large, return medium for small, different colors, love style"
Product,positive,"love, flattering, perfect, sophisticated, casual","flattering dress/tunic, versatile with accessories"
Product,negative,"disappointing, unflattering, over-the-top, thin straps, lack of support","cute suit, good quality, but unflattering and lack of support."
Product,positive,"love, drew, warm, cuddly","lovely sweater, new staple, fit, styling, colors"
Product,positive,"adorable, great, fit, showing","great for yoga or everyday use, fits well"
Product,positive,"confusion, disappointment, satisfaction, uncertainty, surprise","jacket is cropped, xs peach sold out, ordered size s, xs gray looks better"
Product,negative,"cute, feminine, casual, soft, drapes nicely, off center, incorrectly cut, twists, annoying","off center seam, annoying twisting"
Product,negative,"wide, short, strange, cute","shirt is wide and short, stripes are cute"
Product,negative,"unflattering, difficult, returned","boxy fit, navy blue color, difficult to return"
Product,positive,"happy, excited, satisfied, confident, content","perfect jumpsuit, comfortable fabric, versatile for any occasion"
Product,positive,"glad, nice, not sloppy, no issues","top fits true to size, not clingy, fits nicely"
Product,negative,"confusion, uncertainty",pants color description confusion
Product,positive,"love, issue","details and design of top, bit too ""flowy"""
Product,positive,"satisfied, impressed, pleased, excited, confident",luxurious linen blouse with excellent fit and admirable craftsmanship
Product,negative,"lovely, great, nice, good, small, nymph, couldn't","dress, fabrication, zipper placket, material, small waist, couldn't zip"
Product,negative,"disappointment, dissatisfaction, frustration, annoyance, regret","thin fabric, wide bottom hung sloppy, not well dressed"
Product,positive,"glad, surprising, comfortable","comfortable dress with smart features, a surprising find"
Product,positive,"love, splurge, lovely","purple color, 5'2"", xxs size, splurge, lovely"
Product,negative,"uncomfortable, love, small, splashes, dark colors","floral print not visible on small bottom, uncomfortable fit."
Product,positive,"beautiful, elegant, enjoy, hope, more curves","beautiful dress, elegant, hope someone enjoys it"
Product,positive,"excited, sophisticated, nice, close, tailored","top fits perfectly, excited to pair for dinner, jeans and sandals"
Product,positive,"satisfied, impressed, pleased, happy, content","fitted dress with beautiful belt, excellent quality, hidden armpit lace"
Product,negative,"loved, comfortable, fraying, disappearing, unfortunate","fraying leaves on pants, returning due to quality issue"
Product,negative,"disappointment, frustration, anger, surprise, sadness",pants ripped while petting dog
Product,negative,"cute, soft, flattering, short, rounded, higher, wish, old","fabric soft, top flattering, bottom too short, rounded sides"
Product,positive,"love, cute, stumped, haha","dark colors, summer touch, anchors on buttons, smaller fit, more styling options"
Product,negative,"frustration, disappointment, concern, resignation, dissatisfaction","subpar fabric, snagged and unraveling skirts, had to return it"
Product,positive,"perception, like, look, neutral, large","color perception different from photo, overall like the look"
Product,positive,"love, pretty, beautiful, complementary, joy","beautiful dress, sparks joy"
Product,negative,"on the fence, not completely right, light and airiness, seem right, work wear","sizing issue, needs camisole for work wear"
Product,positive,"agree, beautiful, fun, love, statement","beautiful colors, fun side slit, statement piece"
Product,negative,"love, unsure","fabric, fit, sizing accuracy, unsure about smaller size"
Product,positive,"happy, fun, great, looser fit","swingy and fun dress, looks great with tall boots"
Product,negative,"awkward, shame, beautiful, great, shame","high sit, small size, beautiful pattern, awkward fabric, looks great"
Product,negative,"excited, gorgeous, tight, problem, defective","tight fit, defective product"
Product,positive,"love, beautiful, striking, slimming, substantial","soft rib knit skirt with deep chocolate stripes, flattering fit"
Product,positive,"comfortable, perfect, relaxed, fitted","comfortable and perfect for summer, true to size"
"Marketing, Sales",positive,"flattering, great, recommend","40% off sale items, flattering fit, recommend"
Product,positive,"love, great, best, waited, need","great layering piece, snaps, waited for sale"
Product,positive,"satisfied, happy, content, impressed, pleased","comfortable fabric, versatile piece, fits like a dream"
,,,
Product,positive,"fun, versatile, love, well made, quality","well made jumpsuit, versatile for both casual and dressy occasions."
Product,positive,"beautiful, ok, large, perfectly","fabric, cut, beautiful, size, fit"
Product,positive,"flattering, love, fine, ok, loves","flattering fit, no support for breasts, husband loves it"
Product,positive,"beautiful, great, unique, easy, draw","beautiful sweater with unique zipper detail, easy to wear."
Product,negative,"cool, perfect, lack, stretch, comfortably","ankles pants design cool, lack of stretch, uncomfortable knee bend."
Product,positive,"satisfied, comfortable, happy, content, warm","dress fits great, warm for winter months"
Product,negative,"disappointment, sad","dress fit is extremely voluminous, sad to leave without dress"
Product,negative,"loved, unfortunately, boxy, frumpy","color, faded look, return, boxy, frumpy"
,,,
Product,positive,"love, contemplating, thinking","contemplating purchasing dress, can't stop thinking about it"
Product,positive,"love, happy","first pair, love them, altered, rich blue, nice stretch, happy with sale"
Product,negative,"loved, fit, relaxed, tight, send back","sleeves too tight, had to send back"
Product,positive,"pleasant, surprise",nice substantial material
Product,positive,"charming, lovely, great, fabulous, tighter","charming sweatshirt with art nouveau embroidery, great colors for ""spring"" coloring."
Product,negative,disappointed,"dress not slim fit, disappointed with the purchase"
Product,positive,"surprise, glad, rich, fantastic, perfect","substantial jacket with faux suede feel, lush lining, perfect fit."
Product,positive,"love, compliment, well-made, style, layered","well-made, stylish product with a layered look"
Product,positive,"cute, feminine, delicate, careful","cute, feminine sweater, delicate material, be careful."
Product,positive,"cute, compliments, good, stretch, odd, charm, noticeable, comfortable, representative","cute dress, true to size, comfortable, representative pictures"
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, regret","soft jean, good fit, but didn't last"
Product,positive,"love, favorite, soft, great, thinking","soft dress, favorite brand, great for spring and summer."
Product,positive,"love, flattering, adorable, small, match","first high-rise bottoms, flattering fit, adorable print, solid colored top."
Product,positive,"nice, lightweight, pizazz, nicely made, go to","lightweight dress with lace up front, perfect for summer."
Product,positive,"pretty, love, special, true, intentional","lace details, embroidery, shorter side, fit perfectly"
Product,positive,"happy, satisfied, excited, content, pleased","light colored flowy cardigan, soft material, ruffled edges, tie front, bunching around sleeves"
Product,negative,"glad, waste, missed, great, dol","product missed the mark, dol"
Product,negative,"happy, disappointed, regretful, hopeful, determined","romper too big, need to get it tailored"
Product,positive,"love, like, cool, amazing, invisible","love top, open back, cool, amazing fit, invisible baby belly"
Product,positive,"cute, like, difficult, love, ordered","cute top, sizing difficulty, overall love"
Product,positive,"like, cute, comfortable, good","cute and comfortable shirt, not see through, good to go"
Product,negative,"disappointment, confusion, frustration, dissatisfaction, concern","thin material, backless dress, not suitable for wearing outside"
"Inventory, Product",positive,"satisfied, hopeful, disappointed, impressed, curious","petite dress in stock, beautiful quality, order regular size"
Product,positive,"great, warm, nice, fits, hangs","great sweater, long, warm, fits and hangs nicely"
Product,negative,"frustration, disappointment","bells out too much, had to send it back"
Product,negative,"disappointed, warm, okay, bad, high expectations","sweater without closure, disappointed with no closure"
Product,positive,"happy, thrilled","perfect fit, gorgeous dress, stretch, not too long"
Product,positive,"love, great, fabulous, casual, impending","great t-shirt for summer, looks fabulous for casual occasions."
Product,negative,"potential, favorable, great, off, thick, extra, weight, front, not flattering, shame, great, flowy, low","potential dress, unfavorable reviews, off design, not flattering for majority"
Product,positive,"love, cozy, flattering, vibrant, flowy","flattering dress with vibrant pattern, perfect length, and flowy silhouette."
Product,positive,"worried, ok, little, better, classic","airy and light material, worried about wrinkling"
Product,negative,"doubt, expensive, gorgeous, quality, texture",dress design and fabric quality did not meet expectations
Product,positive,"cute, good quality, not too thick, tts","cute colors, good quality fabric, tts fit"
Product,positive,"great, strategically placed, hide, surprised, well placed, worried","great shirt, strategically placed ruffles, hides stomach flaws, work appropriate, worried about arm waggle"
"Marketing, Product",positive,"satisfied, happy, excited, pleased, content","30% off summer tag sale, feminine and boho style"
Product,positive,"love, fun, soft, comfortable, lovely","soft, comfortable, lovely pink color"
Product,positive,"sunny, love, flattering, relaxed, casual","sunny yellow tee, flattering fit, linen material"
"Marketing, Sales",positive,"preference, love, excitement, satisfaction, gratitude","non-maternity shirt loved by receptionist, can be worn post pregnancy"
Product,positive,"cute, love, glad, try","slimming, cute, perfect length, glad I tried it"
